ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,ic,inst,ul5_6_1,ul7_9_1,ul10_14_1,ul1_2_1,ul20_25_1,ul15_20_1,ul10_11_1,ul24_26_1,ul24_28_1,ul6_7_1,ul42_47_1,ul40_45_1,ul5_15_1,ul7_21_1,ul10_22_1,ul1_10_1,ul20_40_1,ul15_75_1,ul10_20_1,ul24_38_1,ul24_36_1,ul6_15_1,ul42_62_1,ul40_100_1,sorb1,uc,ucIntend,ucPa,ucRanking_1,ucRanking_2,ucRanking_3,ucRanking_4,ucRanking_5,carMileage,carPred1,carPred2,carPred3,carPred4,carPred5,carPredT1,carPredT2,carPredT3,carPredT4,carPredT5,chry1,chry2,chry3,chry4,chry5,itcSorbet,itcAttn1,itcAttn2,itcAttn3,itcAttn4,ITC Sorbet,itc5_6,itc7_9,itc10_14,itc1_2,itc20_25,itc15_20,itc10_11,itc24_26,itc24_28,itc6_7,itc42_47,itc40_45,itc5_15,itc7_21,itc10_22,itc1_10,itc20_40,itc15_75,itc10_20,itc24_38,itc24_36,itc6_15,itc42_62,itc40_100,debr,decmak_1,decmak_2,conf,whatConf,READER,age,gender,education,race_1,race_2,race_3,race_4,race_5,race_6,race_7,comments,LocationLatitude,LocationLongitude,LocationAccuracy
R_5nFjsBKfn2IEzy9,Default Response Set,Anonymous,,,128.6.36.149,0,12/10/2015 18:54,12/10/2015 18:54,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.55160522,-74.46369934,-1
R_2uOJN6gj0cfspOq,Default Response Set,Anonymous,,,128.6.36.70,0,12/10/2015 18:54,12/10/2015 18:59,1,1,1,,,,,,,,,,,,,35,0,1,0,17,4,30,35,30,21,35,1,1,1,2,"I need a mercedes, all black, the one for business men.",3,5,4,1,2,1,200000,,,,,,200000,,,,,200000,,,,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,18,100,1,"I think everybody would want money earlier, than later especially if the difference is small, so I don't get the point of this survey.",5,2,1,4,,,1,,,,,I don't get the point of this survey. You could have come up with the results without us taking this survey. ,40.55160522,-74.46369934,-1
R_2wc0u6Dc4b8kHU7,Default Response Set,Anonymous,,,128.6.37.186,0,12/10/2015 18:55,12/10/2015 19:00,1,1,1,54,49,48,50,60,44,46,49,45,45,46,47,,,,,,,,,,,,,1,1,1,get it checked out by multiple mechaincs ,4,2,1,5,3,1,,,,,250000,,250000,,,,120000,,,,,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,50,50,2,,i read the entire question ,3,1,5,1,,,,,,,,40.55160522,-74.46369934,-1
R_2WJv6pf2LATvVy4,Default Response Set,Anonymous,,,128.6.36.100,0,12/10/2015 18:54,12/10/2015 19:01,1,1,1,2,11,20,30,38,30,3,3,30,16,16,18,,,,,,,,,,,,,1,2,1,I would ask my friend in a convincing manner to buy the car for me. Mention how essential getting this car would be etc.,3,4,5,1,2,1,,,,"200,000",,,,,,"250,000",,,"200,000",,,1,1,2,2,4,1,2,2,2,2,2,2,1,2,2,2,2,2,,,,,,,,,,,,,1,50,49,2,,I read the entire question,2,1,3,,,,1,,,,,40.55160522,-74.46369934,-1
R_2TO9GOpg7Sto2QQ,Default Response Set,Anonymous,,,128.6.36.227,0,12/10/2015 18:56,12/10/2015 19:01,1,1,1,,,,,,,,,,,,,65,72,75,97,75,93,76,75,69,67,77,85,1,2,1,"Buy the best car for the best price, not too many miles, good gas mileage, looks good on outside and inside.",3,4,5,1,2,1,,,,"210,000",,,"120,000",,,,,,,,"240,000",1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,31,64,2,,10,3,1,3,1,,,,,,,,40.55160522,-74.46369934,-1
R_C80I7vITJ34bfEt,Default Response Set,Anonymous,,,128.6.36.147,0,12/10/2015 18:58,12/10/2015 19:02,1,1,1,86,92,59,12,67,27,46,73,46,9,57,63,,,,,,,,,,,,,1,2,2,I would tell them that I need the car to go to work and also to school. ,,,,,,1,,,160000,,,,25000,,,,,,,,300000,1,1,1,2,4,1,2,2,2,1,2,1,1,2,1,2,2,1,,,,,,,,,,,,,1,69,78,2,,3,2,2,3,,,,1,,,,,40.55160522,-74.46369934,-1
R_2fHbSQCJeVJ89px,Default Response Set,Anonymous,,,128.6.37.216,0,12/10/2015 18:57,12/10/2015 19:02,1,1,1,,,,,,,,,,,,,83,69,64,84,55,65,40,33,78,87,76,79,1,2,1,"price, color, model, prestige ",3,5,1,2,4,1,"70,000",,,,,,,,"200,000",,,,,,"300,000",1,1,2,2,4,1,,,,,,,,,,,,,1,1,2,1,2,1,1,1,1,1,1,1,1,50,65,1,,,2,2,5,,,,,,,,,40.55160522,-74.46369934,-1
R_2CvmUb1HeHpDzit,Default Response Set,Anonymous,,,128.6.37.247,0,12/10/2015 18:55,12/10/2015 19:02,1,1,1,,,,,,,,,,,,,68,18,24,25,35,1,43,72,75,72,62,1,1,2,2,"Black SUV, no accident history, low mileage (below 10,000), right price (below $15,000), good MPG ",3,5,4,1,2,1,,,"200,000",,,,,,"200,000",,,,"200,000",,,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,100,2,,I read the entire question,3,2,4,1,,,,,,,,40.55160522,-74.46369934,-1
R_CfPcK2c1HeCdSRH,Default Response Set,Anonymous,,,128.6.37.38,0,12/10/2015 18:56,12/10/2015 19:03,1,1,1,7,14,18,3,21,21,7,8,17,8,20,19,,,,,,,,,,,,,1,1,1,"Good gas milage, small, gray or black, not older than 15 years",5,4,3,1,2,1,,,,,"350,000","300,000",,,,,"42,000",,,,,1,1,1,2,4,1,2,2,1,2,1,1,2,1,2,2,1,1,,,,,,,,,,,,,1,4,96,1,The questions about $5 today or $30 in three months were unclear.,I read the entire question,2,2,3,1,,,,,,,No.,40.55160522,-74.46369934,-1
R_XG2FvrlfOpqHmQV,Default Response Set,Anonymous,,,128.6.37.159,0,12/10/2015 18:56,12/10/2015 19:03,1,1,1,,,,,,,,,,,,,,,,100,,100,100,100,100,100,100,100,1,2,1,"Buy a car that has as owners as possible, with a car fax lookup. Buy something that does not need a lot of servicing or fixing up and relative low milage. ",1,2,3,4,5,1,,,"250,000",,,,,,"250,000",,,,,"250,000",,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,91,27,1,The unlike or likely questions. I didn't realize that they were going to be questions on numbers so my relatively for the unlikely scale might be kind of off. ,I read the entire question,3,1,3,,,,1,,,,,40.55160522,-74.46369934,-1
R_3CH6Jr1YSG7yTe4,Default Response Set,Anonymous,,,128.6.37.146,0,12/10/2015 18:56,12/10/2015 19:03,1,1,1,,,,,,,,,,,,,24,73,54,82,47,85,,,,51,71,,1,2,1,"make sure the car has good fuel economy doesn't have any major issues, is less than 20,000 dollars, runs smoothly, automatic not manaul, is not an absurd color, and is a nice looking car with good look to it ",1,4,2,3,5,1,"175,000",,,,,,,"200,000",,,,"215,000",,,,1,1,2,2,4,1,,,,,,,,,,,,,1,2,2,1,2,1,1,2,2,3,2,1,1,4,66,1,the wording of and how to use the graphs with how unlike are these two numbers .... the question seemed to be a double negative,I read the entire question ,2,1,3,1,,,,,,,Thanks!,40.55160522,-74.46369934,-1
R_2CHYIrNAcBWOsG9,Default Response Set,Anonymous,,,128.6.37.112,0,12/10/2015 18:56,12/10/2015 19:03,1,1,1,34,53,54,74,63,74,69,76,75,77,66,70,,,,,,,,,,,,,1,1,1,"make sure it has a low mileage, it is clean, and in a very good condition",4,5,3,1,2,1,"180,000",,,,,,,,"200,000",,,,"160,000",,,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,3,4,2,,i read the entire question,3,2,2,1,,,,,,,,40.55160522,-74.46369934,-1
R_24eoHto2gJDV1MD,Default Response Set,Anonymous,,,128.6.37.153,0,12/10/2015 18:56,12/10/2015 19:03,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,1,1,2,I would make the decision based on my needs ,1,5,4,2,3,1,,90000,,,,,110000,,,,,120000,,,,1,1,2,2,4,1,1,1,1,1,2,1,1,1,1,1,2,1,,,,,,,,,,,,,1,93,92,2,,I read the entire question. ,2,1,3,,,,1,,,,,40.55160522,-74.46369934,-1
R_3EhF8izz9HSjwHs,Default Response Set,Anonymous,,,128.6.37.125,0,12/10/2015 18:56,12/10/2015 19:04,1,1,1,7,9,15,24,40,35,3,60,38,5,95,84,,,,,,,,,,,,,1,1,1,"Please make sure it's in good condition, isn't too expensive, is nice, has basic features, and doesn't have too many miles",2,5,1,3,4,1,,,,"250,000",,,,,,"315,000",,,"200,000",,,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,58,80,2,,I read the entire question,2,1,2,1,,,,,,,,40.55160522,-74.46369934,-1
R_3pcgJgNgQcXkvEw,Default Response Set,Anonymous,,,128.6.37.207,0,12/10/2015 18:58,12/10/2015 19:04,1,1,1,,,,,,,,,,,,,77,31,44,80,58,19,77,73,76,86,61,37,1,2,1,"Hey X, /  / I'm looking into buying a used Jeep. Could you help me buy one? I'll pay you back. /  / ",4,5,2,1,3,1,,,,,"500,000",,"500,000",,,,,,"400,000",,,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,4,99,2,,I read the entire question.,2,2,2,,,,1,,,,,40.55160522,-74.46369934,-1
R_1CfLwOh0QMHAQ8V,Default Response Set,Anonymous,,,128.6.36.118,0,12/10/2015 18:58,12/10/2015 19:04,1,1,1,,,,,,,,,,,,,100,100,100,100,100,100,,,,,100,,1,2,2,convince them,3,5,1,4,2,1,,,160000,,,,,,,500000,,80000,,,,1,1,2,2,4,1,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,1,2,1,1,84,75,1,the expertise ,I read the entire question,2,1,4,,,,1,,,,,40.55160522,-74.46369934,-1
R_1cTIyDo5A1JMqK3,Default Response Set,Anonymous,,,128.6.37.127,0,12/10/2015 18:57,12/10/2015 19:04,1,1,1,,,,,,,,,,,,,47,52,49,48,50,57,48,36,48,35,42,83,1,2,1,"GOOD GAS MILEAGE, GOOD QUALITY, NICE LOOK, BLACK, COMFORTABLE SEATS",1,5,4,3,2,1,,"175,000",,,,,"175,000",,,,,"175,000",,,,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,19,75,2,,I READ THE ENTIRE QUESTION,2,1,3,1,,,,,,,,40.55160522,-74.46369934,-1
R_AuF4a29e55NYWaJ,Default Response Set,Anonymous,,,128.6.37.117,0,12/10/2015 18:57,12/10/2015 19:04,1,1,1,6,8,14,2,22,18,9,14,18,5,24,27,,,,,,,,,,,,,1,2,2,Buy a nice car that does not seem as if it has been used.  Can't smell like smoke or have a lot of miles. Buy it in black.,5,2,4,3,1,1,,,"200,000",,,"175,000",,,,,,,,"207,000",,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,11,14,2,,I read the entire question,3,1,3,1,,,,,,,,40.55160522,-74.46369934,-1
R_1k044AlLBOX18A5,Default Response Set,Anonymous,,,128.6.37.10,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,78,,100,,,100,78,86,87,78,90,94,,,,,,,,,,,,,1,2,1,"I would like a good car in good condition. It does not have to be flashy at all. As long as everything works properly, it is clean, safe, and within my budget.",2,5,4,1,3,1,,,160000,,,"130,000",,,,,150000,,,,,1,1,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,1,99,87,1,I do not understand the scale about likeness. I thought it was confusing and did not make sense. ,15 mins,2,1,3,1,,,,,,,,40.55160522,-74.46369934,-1
R_1j9QopES3HRpj6j,Default Response Set,Anonymous,,,128.6.37.183,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,,,,,,,,,,,,,5,7,12,2,30,9,37,6,7,22,3,4,1,2,2,"I have faith in you to make a decision about a used car for me. I trust you that you know the basic questions on what to ask such as mileage. accidents, etc. I don't have the time to go buy a car myself, so please help me. Thank you in advance!",2,4,3,1,5,1,"75,000",,,,,,,,,"250,000","80,000",,,,,1,1,1,2,4,1,,,,,,,,,,,,,1,2,2,1,1,1,2,2,2,3,2,2,1,75,51,1,The math,I read the entire question.,2,2,2,,,,1,,,,No,40.55160522,-74.46369934,-1
R_XtbnqGRRIoslEFH,Default Response Set,Anonymous,,,128.6.36.131,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,21,8,24,3,35,53,14,53,51,11,58,54,,,,,,,,,,,,,1,2,1,Buy exactly the model I tell you to buy and do not sway your decision at all.,3,4,5,1,2,1,,,,,400000,,,,500000,,,,,200000,,1,1,2,2,4,1,1,2,2,1,1,2,1,2,2,1,1,1,,,,,,,,,,,,,1,0,100,2,,I read the entire question,2,1,2,,,,1,,,,,40.55160522,-74.46369934,-1
R_2SH0udVEWWUeGi4,Default Response Set,Anonymous,,,128.6.37.247,0,12/10/2015 18:57,12/10/2015 19:05,1,1,1,0,3,1,0,51,6,0,6,5,0,8,5,,,,,,,,,,,,,1,2,1,"I would tell them to make sure the car is affordable, reliable, and SAFE. I would tell them to look for low mileage and take the car to a mechanic if they can to get it checked.",1,5,4,2,3,1,,,"200,000",,,,,,200000,,,,200000,,,1,1,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,1,0,0,1,"I found this entire survey to be extremely confusing. I don't know anything about car mileage and don't know why a survey would expect that I do. I also didn't understand question that asked me which way I used to my decisions on ""x in x days and y in y days"". I just simply went with my gut without calculations. ",I read the entire question.,3,2,3,,,1,,,,,,40.55160522,-74.46369934,-1
R_3dFyfTGlmY11YOL,Default Response Set,Anonymous,,,128.6.36.75,0,12/10/2015 18:59,12/10/2015 19:05,1,1,1,23,12,9,24,6,6,28,18,11,38,6,8,,,,,,,,,,,,,1,1,1,,1,5,4,2,3,1,,,,200000,,,,300000,,,200000,,,,,1,1,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,1,1,1,2,,I read the entire question,3,2,4,1,,,,,,,,40.55160522,-74.46369934,-1
R_1BYu6obsMXG6xWz,Default Response Set,Anonymous,,,128.6.37.182,0,12/10/2015 18:57,12/10/2015 19:05,1,1,1,1,4,20,1,29,41,3,34,37,1,53,62,,,,,,,,,,,,,1,2,2,"Make sure the mileage is higher than 25 miles per gallon.  / It has to be black. / It cannot be a sedan. / Large and spacious.  / If it is a hybrid that is fine. / If it is an electrical car that is best, / Cannot be a Kia or a Ford.",1,5,4,3,2,1,,,,,"350,000","500,000",,,,,,,,,"360,000",1,1,1,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,1,4,38,2,,I read the entire question,3,2,2,1,,,,,,,No,40.55160522,-74.46369934,-1
R_bfMuLZAuhIy5Ggh,Default Response Set,Anonymous,,,128.6.36.99,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,77,79,65,19,75,65,81,66,56,82,58,56,,,,,,,,,,,,,1,2,1,"Surprise me. It better be affordable, and fuel efficient though.",4,5,3,2,1,1,"85,000",,,,,"90,000",,,,,"65,000",,,,,1,1,2,2,4,1,1,1,1,1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,1,27,81,1,Last part,I read the entire question mkay,2,1,4,,,,1,,1,,,40.55160522,-74.46369934,-1
R_3ly0mxyod8HHzfd,Default Response Set,Anonymous,,,128.6.37.236,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,1,2,4,1,5,5,1,2,4,1,5,5,,,,,,,,,,,,,1,2,1,Show me the carfax.,1,5,3,2,4,1,,,,,"280,000",,,,,"300,000",,,,"225,000",,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,65,35,2,,I read the entire question,2,1,3,1,,1,,,,,,40.55160522,-74.46369934,-1
R_2B4ZVUTjVdkD0BF,Default Response Set,Anonymous,,,128.6.36.92,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,1,2,4,1,5,5,1,2,4,1,5,5,,,,,,,,,,,,,1,2,2,Don't mess up,2,4,5,3,1,1,,,156000,,,55000,,,,,,,,195900,,1,1,2,2,4,1,1,2,2,1,2,2,1,2,2,1,2,2,,,,,,,,,,,,,1,50,50,1,Took me a little while to understand the slide bar setup and what its function was.,I read the entire question,2,,2,,,,,,,1,None whatsoever,40.55160522,-74.46369934,-1
R_1ifZhh3huBLIGvB,Default Response Set,Anonymous,,,128.6.36.169,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,,,,,,,,,,,,,34,33,32,10,50,21,40,40,83,30,69,40,1,1,1,"I would never ask a friend to buy a car for me since that is a big purchase and it would not be a good decision to have someone else make it for you. However, if I really had to for some strange reason, I would determine the exact car I want by giving him the VIN number and the price that I would pay. ",5,2,1,3,4,1,,,,,250000,,190000,,,,,150000,,,,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,1,1,100,100,1,"Confusing wording, the unlikeness part was very difficult to understand. ",I read the entire question,2,1,2,1,,,,,,,,40.55160522,-74.46369934,-1
R_1ptgto16EFaPfZQ,Default Response Set,Anonymous,,,128.6.37.46,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,,,,,,,,,,,,,86,100,59,88,55,100,65,54,46,46,63,94,1,1,2,Get something sporty and fast.,,,,,,1,,,"160,000",,,,,"180,000",,,,,,"202,000",,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,1,2,1,1,62,77,1,,20,2,1,4,,,1,,,,,,40.55160522,-74.46369934,-1
R_2pRHL4LK3qHGo4w,Default Response Set,Anonymous,,,128.6.37.120,0,12/10/2015 18:57,12/10/2015 19:06,1,1,1,,,,,,,,,,,,,100,100,100,99,100,100,100,100,100,100,100,100,1,1,2,"I would tell them all about the car in depth with details without the car being there, if the car is in bad shape.  Than proceed to focus on the parts of the car that are more appealing than others.  ",2,4,5,1,3,1,,,155885,,,,,,"200,000",,"100,000",,,,,1,1,2,2,4,1,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,1,6,99,2,,I read the entire question ,3,1,3,1,,,,,,,,40.55160522,-74.46369934,-1
R_247MBA8A895KGVO,Default Response Set,Anonymous,,,128.6.36.162,0,12/10/2015 18:56,12/10/2015 19:06,1,1,1,,,,,,,,,,,,,50,68,57,41,50,77,50,66,67,42,49,89,1,1,1,"Hey, /  / I am looking to buy a car for myself that is Used. However, right now I do have the funds to support the buy. I was wondering is there anyway that you could help me out and buy the car for me. I will give you 10 percent interst if you buy it for me and will pay you back monthly untill the entire car payment is paid off.  / It would really help me out if you could.  /  / Thanks ",2,5,4,1,3,1,"120,000",,,,,,,,,"230,000",,,,"215,000",,1,1,2,2,4,1,,,,,,,,,,,,,1,1,2,1,1,1,1,1,2,1,2,1,1,19,66,2,,I read the entire question,3,1,2,1,,,,,,,,40.55160522,-74.46369934,-1
R_1KxnSeHcDmNw3rc,Default Response Set,Anonymous,,,128.6.37.249,0,12/10/2015 18:59,12/10/2015 19:06,1,1,1,,,,,,,,,,,,,90,14,88,9,41,40,90,86,88,90,70,60,1,1,1,Buy something with a warranty. Also a model I would find attractive. ,3,4,1,2,5,1,"150,000",,,,,,,"200,000",,,,"150,000",,,,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,10,90,2,,i read the entire question,3,1,3,1,,,,,,,,40.55160522,-74.46369934,-1
R_3QRX9kTh2lc2iTh,Default Response Set,Anonymous,,,128.6.37.110,0,12/10/2015 18:59,12/10/2015 19:06,1,1,1,,,,,,,,,,,,,,2,3,1,,,1,4,1,3,3,2,1,1,1,i would tell them the blue book value and the max price i would pay.  i waould tell him/her where to start negotiations and only buy if it remains below or equal to my max,5,2,1,3,4,1,80000,,,,,,150000,,,,,,160000,,,1,1,1,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,100,2,,I read the entire ...,3,1,3,,,,,,,1,i dont like surveys,40.55160522,-74.46369934,-1
